 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  2.588
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.410298E-03,0.705925E-02,0.125473E-01,0.587008E-03,0.109337,0.503930,0.316168,-9999.0,-9999.0,0.497109E-02,-0.256768E-01,0.236082E-01,0.109474,0.802581E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.820597E-03,0.169790E-01,0.188521E-01,0.149470E-02,0.710824E-03,0.120498,0.640057E-01,-9999.0,-9999.0,0.930607E-02,-0.582034E-01,0.221065E-03,-0.197563E-01,0.463384E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.123090E-02,0.207893E-01,0.147182E-02,0.192940E-02,0.182818E-01,0.932371E-02,0.215755E-01,-9999.0,-9999.0,0.128627E-01,-0.157440E-01,0.145209E-01,0.263553E-01,0.243089E-02,-9999.0,-9999.0
1,0.244141E-02,0.164119E-02,0.390666E-01,0.188707E-01,0.533578E-02,0.182552E-01,0.818887E-02,0.718494E-01,-9999.0,-9999.0,0.413285E-01,-0.105588E-01,0.296359E-01,-0.222525E-01,0.115188,-9999.0,-9999.0
1,0.305176E-02,0.205149E-02,0.563846E-01,0.885653E-02,0.126407E-01,0.121641E-01,0.185790E-01,0.752901E-01,-9999.0,-9999.0,0.707100E-01,-0.673628E-01,0.366971E-01,0.576461E-01,0.145843,-9999.0,-9999.0
1,0.366211E-02,0.246179E-02,0.645080E-02,0.316366E-02,0.254240E-02,0.858284E-02,0.354311E-02,0.552650E-02,-9999.0,-9999.0,0.232148E-04,-0.322817E-01,-0.468501E-02,0.211997E-01,-0.225040E-02,-9999.0,-9999.0
1,0.427246E-02,0.287209E-02,0.109369,0.491274E-02,0.605044E-02,0.631887E-01,0.115439E-02,0.140999,-9999.0,-9999.0,0.728898E-01,-0.409984E-01,0.595089E-01,0.170585E-01,0.148775,-9999.0,-9999.0
2,0.518799E-02,0.348754E-02,0.663441E-01,0.104579E-01,0.152224E-01,0.261414E-01,0.121948E-01,0.934756E-01,-9999.0,-9999.0,-0.173565E-01,0.126855E-01,-0.191035E-01,0.271292E-01,-0.789522E-01,-9999.0,-9999.0
